address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
51 Commercial Ave,Sandwich Place,New Brunswick,US,us/nj/newbrunswick/51commercialave/-2115681364,40.48803,-74.43908,5.99,5.99,USD,2016-06-04T20:52:37Z,,Pizza Steak,Park Deli Too,8901,USD,0,25,NJ
26601 Aliso Creek Rd,Restaurant,Aliso Viejo,US,us/ca/alisoviejo/26601alisocreekrd/457704102,33.57563,-117.72453,5.99,5.99,USD,2016-03-25T03:29:29Z,,Bbq Chicken Pizza,Bagels & Brew,92656,USD,25,40,CA
26601 Aliso Creek Rd,Restaurant,Aliso Viejo,US,us/ca/alisoviejo/26601alisocreekrd/457704102,33.57563,-117.72453,3.99,3.99,USD,2016-03-25T03:29:29Z,,Cheese Pizza,Bagels & Brew,92656,USD,25,40,CA
26601 Aliso Creek Rd,Restaurant,Aliso Viejo,US,us/ca/alisoviejo/26601alisocreekrd/457704102,33.57563,-117.72453,1.55,1.55,USD,2016-03-25T03:29:29Z,,Pizza Bagel,Bagels & Brew,92656,USD,25,40,CA
1066 Hanes Mall Blvd,Pizza Place and Italian Restaurant,Winston Salem,US,us/hanes/winstonsalem/1066hanesmallblvd/1366666233,36.06917764,-80.32186568,7.95,7.95,USD,2016-06-20T15:51:14Z,"Ricotta Cheese, Fresh Garlic, Mozz Cheese",Pizza Bianco,Mario's Pizza,27103,,0,0,Hanes
1066 Hanes Mall Blvd,Pizza Place and Italian Restaurant,Winston Salem,US,us/hanes/winstonsalem/1066hanesmallblvd/1366666233,36.06917764,-80.32186568,3,3,USD,2016-06-20T15:51:14Z,,Pizza By The Slice,Mario's Pizza,27103,,0,0,Hanes
1066 Hanes Mall Blvd,Pizza Place and Italian Restaurant,Winston Salem,US,us/hanes/winstonsalem/1066hanesmallblvd/1366666233,36.06917764,-80.32186568,1,1,USD,2016-06-20T15:51:14Z,,Pizza Toppings,Mario's Pizza,27103,,0,0,Hanes
222 And 222a Prospect W,Bagel Shop,Brooklyn,US,us/ny/brooklyn/222222aprospectw/-1926345859,40.66001973,-73.980779,2.75,2.75,USD,2016-03-28T05:53:51Z,,Pizza Bagel,Terrace Bagel,11215,USD,0,25,NY
222 And 222a Prospect W,Bagel Shop,Brooklyn,US,us/ny/brooklyn/222222aprospectw/-1926345859,40.66001973,-73.980779,100,100,USD,2016-03-28T05:53:51Z,,Steak Pizzaiola,Terrace Bagel,11215,USD,0,25,NY
2417 Oneil Blvd,Mckeesport Restaurants,Mckeesport,US,us/pa/mckeesport/2417oneilblvd/-878242868,40.351893,-79.82724,13.95,13.95,USD,2016-05-06T00:09:07Z,,Garlic Pizza,Mama Pepino's Pizza,15131,,0,0,PA
2417 Oneil Blvd,Mckeesport Restaurants,Mckeesport,US,us/pa/mckeesport/2417oneilblvd/-878242868,40.351893,-79.82724,6.95,6.95,USD,2016-05-06T00:09:07Z,,White Pizza,Mama Pepino's Pizza,15131,,0,0,PA
3100 Lakeville Hwy,Coffee Shop,Petaluma,US,us/ca/petaluma/3100lakevillehwy/1546354706,38.23448,-122.595933,6.25,6.25,USD,2016-06-20T15:49:05Z,"Create Your Own Whole or Half and Half Pizza. Includes our tomato sauce, mozzarella, oregano and a sprinkling of cheddar",Create Your Own Pizza,Starbucks Coffee,94954,USD,0,25,CA
3100 Lakeville Hwy,Coffee Shop,Petaluma,US,us/ca/petaluma/3100lakevillehwy/1546354706,38.23448,-122.595933,8.25,8.25,USD,2016-06-20T15:49:05Z,"(heated) Tomato sauce, mozzarella, pepperoni, red onions black olives and fresh mushrooms",Pizzawich Monster Sub,Starbucks Coffee,94954,USD,0,25,CA
3100 Lakeville Hwy,Coffee Shop,Petaluma,US,us/ca/petaluma/3100lakevillehwy/1546354706,38.23448,-122.595933,6.25,6.25,USD,2016-06-20T15:49:05Z,"Your basic plain cheese pizza, no other toppings. Includes our tomato sauce, mozzarella, oregano and a sprinkling of cheddar",Plain Cheese Pizza,Starbucks Coffee,94954,USD,0,25,CA
14933 Pulaski Rd,BBQ Joint,Midlothian,US,us/il/midlothian/14933pulaskird/1087710218,41.620934,-87.717489,4.5,4.5,USD,"2017-01-17T18:14:43Z,2016-03-25T03:10:05Z",,Pizza Puff,Hog Wild,60445,,0,0,IL
9101 International Dr,Restaurant,Orlando,US,us/fl/orlando/9101internationaldr/613728091,28.432958,-81.471476,5.95,5.95,USD,2016-08-21T00:00:00Z,,Cheese Flatbread Pizza,Maggiano's - Orlando,32819,USD,0,30,FL
9110 Selborne Ln,American Restaurant,Palmetto,US,us/ga/palmetto/9110selborneln/103307,33.5246915,-84.7358228,9,9,USD,2016-03-31T02:47:42Z,"Tomatoes, mozzarella and basil",Margherita Pizza,The Hil,30268,USD,0,30,GA
9110 Selborne Ln,American Restaurant,Palmetto,US,us/ga/palmetto/9110selborneln/103307,33.5246915,-84.7358228,8,8,USD,2016-03-31T02:47:42Z,,"Margherita Pizza, Tomatoes, Mozzarella and Basil",The Hil,30268,USD,0,30,GA
